"","region","city","n","lat","long"
"490","NY","Kingston",1,41.9287812,-74.0023825
"491","NY","Lakewood",1,42.104224,-79.333104
"492","NY","Lockport",1,43.1687104,-78.696567
"493","NY","Massapequa",1,40.6761472,-73.4696557
"494","NY","Middletown",1,41.45011,-74.4164807
"495","NY","Monroe",1,41.3304767,-74.1866348
"496","NY","Newburgh",1,41.5000767,-74.0098299
"497","NY","Olean",1,42.0775022,-78.4298248
"498","NY","Oswego",1,43.4548063,-76.5094143
"499","NY","Plattsburgh",1,44.6960855,-73.4542915
"500","NY","Poughkeepsie",2,41.7065539,-73.9283672
"501","NY","Queens",1,40.7135078,-73.8283132
"502","NY","Queensbury",1,43.3618532,-73.6652451
"503","NY","Riverhead",1,40.9168692,-72.6624189
"504","NY","Rochester",2,43.157285,-77.615214
"505","NY","Rosedale",1,40.6620479,-73.7354097
"506","NY","Rotterdam",1,42.786763,-73.9720982
"507","NY","Scarsdale",1,40.9880495,-73.7974133
"508","NY","Shirley",1,40.8012894,-72.8675941
"509","NY","Syracuse",1,43.0481221,-76.1474244
"510","NY","Tonawanda",1,43.020679,-78.878383
"511","NY","Troy",1,42.7284117,-73.6917878
"512","NY","Utica",1,43.1009031,-75.2326641
"513","NY","Vestal",1,42.0850703,-76.053813
"514","NY","Victor",1,42.9825634,-77.4088794
"515","NY","Watertown",1,43.9747838,-75.9107565
"516","NY","Webster",1,43.212285,-77.429994
"517","NY","Williamsville",1,42.9637836,-78.7377258
"518","NY","Yonkers",1,40.9312099,-73.8987469
"519","NC","Asheville",1,35.595363,-82.5508407
"520","NC","Burlington",1,36.0956918,-79.4377991
"521","NC","Charlotte",1,35.2272086,-80.8430827
"522","NC","Durham",1,35.996653,-78.9018053
"523","NC","Fayetteville",2,35.0525759,-78.878292
"524","NC","Garner",1,35.7112642,-78.6141709
"525","NC","Goldsboro",1,35.3848841,-77.9927651
"526","NC","Greensboro",3,36.0726355,-79.7919754
"527","NC","Greenville",1,35.613224,-77.3724593
"528","NC","Hendersonville",1,35.3187279,-82.4609528
"529","NC","Hickory",2,35.7333312,-81.3442915
"530","NC","Jacksonville",1,34.7509962,-77.4309829
"531","NC","Kannapolis",1,35.4979605,-80.6240008
"532","NC","Monroe",1,34.9854275,-80.5495112
"533","NC","Mooresville",1,35.5848596,-80.8100724
"534","NC","Pineville",1,35.0855409,-80.8871253
"535","NC","Raleigh",5,35.7803977,-78.6390989
"536","NC","Wilmington",1,34.2352853,-77.9487284
"537","ND","Bismarck",1,46.808327,-100.783739
"538","ND","Fargo",1,46.877229,-96.789821
"539","ND","Minot",1,48.23251,-101.296273
"540","OH","Akron",2,41.083064,-81.518485
"541","OH","Ashtabula",1,41.8647873,-80.7841284
"542","OH","Athens",1,39.3289242,-82.1012479
"543","OH","Beachwood",1,41.464498,-81.508732
"544","OH","Beavercreek",1,39.7092262,-84.0632685
"545","OH","Canton",1,40.7985464,-81.3749508
"546","OH","Chillicothe",1,39.3331197,-82.9824019
"547","OH","Cincinnati",3,39.1014537,-84.5124602
"548","OH","Cleveland",1,41.4996574,-81.6936772
"549","OH","Columbus",2,39.9622601,-83.0007065
"550","OH","Dayton",1,39.7589478,-84.1916069
"551","OH","Defiance",1,41.2844933,-84.3557802
"552","OH","Dublin",1,40.0996009,-83.1135563
"553","OH","Elyria",1,41.3673191,-82.1073583
"554","OH","Fairfield",1,39.3458953,-84.5605031
"555","OH","Fairlawn",1,41.1326644,-81.6262051
"556","OH","Heath",1,40.0228421,-82.4445991
"557","OH","Holland",1,41.621718,-83.711604
"558","OH","Lancaster",1,39.7136754,-82.5993294
"559","OH","Lima",1,40.7399785,-84.105006
"560","OH","Mansfield",1,40.75839,-82.5154471
"561","OH","Marion",1,40.5886259,-83.1287349
"562","OH","Medina",1,41.1383878,-81.8637474
"563","OH","Mentor",1,41.6664781,-81.3399769
"564","OH","Middletown",1,39.516644,-84.4041725
"565","OH","Niles",1,41.1808345,-80.7653797
"566","OH","Parma",1,41.3822398,-81.7355692
"567","OH","Perrysburg",1,41.5571178,-83.6279321
"568","OH","Pickerington",1,39.8842304,-82.7535049
"569","OH","Riverside",1,39.7793976,-84.1246358
"570","OH","Sandusky",1,41.4561002,-82.7115813
"571","OH","Sheffield",1,41.4211548,-82.096259
"572","OH","Solon",1,41.3897764,-81.4412259
"573","OH","Springfield",1,39.9234046,-83.810138
"574","OH","Steubenville",1,40.3600714,-80.6151034
